# Source: Manual Técnico SIFEN v150, Tabla 2.1 (DEPARTAMENTOS, DISTRITOS Y CIUDADES)
# Original file: CODIGO DE REFERENCIA GEOGRAFICA.xlsx (DNIT 2023)
# Generated by: scripts/generate_geo_catalogs.py
codigo,nombre,nombre_display,codigo_padre,activo
111,LA PAZ,LA PAZ,8,1
112,TOMAS R. PEREIRA,TOMAS R. PEREIRA,8,1
113,YATYTAY,YATYTAY,8,1
114,HERIBERTA S.DE IGLESIAS,HERIBERTA S.DE IGLESIAS,8,1
115,SAN JUAN BAUTISTA,SAN JUAN BAUTISTA,9,1
116,AYOLAS,AYOLAS,9,1
117,SAN IGNACIO,SAN IGNACIO,9,1
118,SAN MIGUEL,SAN MIGUEL,9,1
119,SAN PATRICIO,SAN PATRICIO,9,1
120,SANTIAGO,SANTIAGO,9,1
121,SANTA MARIA,SANTA MARIA,9,1
122,SANTA ROSA,SANTA ROSA,9,1
123,VILLA FLORIDA,VILLA FLORIDA,9,1
124,YABEBYRY,YABEBYRY,9,1
125,PARAGUARI,PARAGUARI,10,1
126,ACAHAY,ACAHAY,10,1
127,CAAPUCU,CAAPUCU,10,1
128,CABALLERO,CABALLERO,10,1
129,CARAPEGUA,CARAPEGUA,10,1
130,LA COLMENA,LA COLMENA,10,1
131,ESCOBAR,ESCOBAR,10,1
132,MBUYAPEY,MBUYAPEY,10,1
133,PIRAYU,PIRAYU,10,1
134,QUIINDY,QUIINDY,10,1
135,ROQUE GONZALEZ,ROQUE GONZALEZ,10,1
136,SAPUCAI,SAPUCAI,10,1
137,YBYCUI,YBYCUI,10,1
138,QUYQUYHO,QUYQUYHO,10,1
139,YBYTYMI,YBYTYMI,10,1
140,TEBICUARY MI,TEBICUARY MI,10,1
141,YAGUARON,YAGUARON,10,1
142,HERNANDARIAS,HERNANDARIAS,11,1
143,DOMINGO MARTINEZ DE IRALA,DOMINGO MARTINEZ DE IRALA,11,1
144,NACUNDAY,ÑACUNDAY,11,1
145,CIUDAD DEL ESTE,CIUDAD DEL ESTE,11,1
146,JUAN LEON MALLORQUIN,JUAN LEON MALLORQUIN,11,1
147,ITAKYRY,ITAKYRY,11,1
148,JUAN E.O'LEARY,JUAN E.O'LEARY,11,1
149,PRESIDENTE FRANCO,PRESIDENTE FRANCO,11,1
150,YGUAZU,YGUAZU,11,1
151,SAN CRISTOBAL,SAN CRISTOBAL,11,1
152,AREGUA,AREGUA,12,1
153,CAPIATA,CAPIATA,12,1
154,FERNANDO DE LA MORA,FERNANDO DE LA MORA,12,1
155,GUARAMBARE,GUARAMBARE,12,1
156,ITA,ITA,12,1
157,ITAUGUA,ITAUGUA,12,1
158,LIMPIO,LIMPIO,12,1
159,LUQUE,LUQUE,12,1
160,MARIANO ROQUE ALONSO,MARIANO ROQUE ALONSO,12,1
161,NEMBY,ÑEMBY,12,1
162,NUEVA ITALIA,NUEVA ITALIA,12,1
163,SAN ANTONIO,SAN ANTONIO,12,1
164,SAN LORENZO,SAN LORENZO,12,1
165,VILLA ELISA,VILLA ELISA,12,1
166,VILLETA,VILLETA,12,1
167,YPACARAI,YPACARAI,12,1
168,YPANE,YPANE,12,1
169,LAMBARE,LAMBARE,12,1
170,J.AUGUSTO SALDIVAR,J.AUGUSTO SALDIVAR,12,1
171,PILAR,PILAR,13,1
172,ALBERDI,ALBERDI,13,1
173,CERRITO,CERRITO,13,1
174,DESMOCHADOS,DESMOCHADOS,13,1
175,GUAZU CUA,GUAZU CUA,13,1
176,HUMAITA,HUMAITA,13,1
177,ISLA UMBU,ISLA UMBU,13,1
178,LAURELES,LAURELES,13,1
179,PASO DE PATRIA,PASO DE PATRIA,13,1
180,MAYOR J.D.MARTINEZ,MAYOR J.D.MARTINEZ,13,1
181,SAN JUAN DE NEEMBUCU,SAN JUAN DE ÑEEMBUCU,13,1
182,TACUARAS,TACUARAS,13,1
183,VILLA OLIVA,VILLA OLIVA,13,1
184,VILLALBIN,VILLALBIN,13,1
185,PEDRO JUAN CABALLERO,PEDRO JUAN CABALLERO,14,1
186,BELLA VISTA,BELLA VISTA,14,1
187,CAPITAN BADO,CAPITAN BADO,14,1
188,VILLA HAYES,VILLA HAYES,15,1
189,BENJAMIN ACEVAL(MONTE SOCIEDAD,BENJAMIN ACEVAL(MONTE SOCIEDAD,15,1
190,PTO.PINAZCO,PTO.PINAZCO,15,1
191,NANAWA,NANAWA,15,1
192,MCAL.ESTIGARRIBIA,MCAL.ESTIGARRIBIA,16,1
193,BOQUERON,BOQUERON,16,1
194,PEDRO P.PENA,PEDRO P.PEÑA,16,1
195,FUERTE OLIMPO,FUERTE OLIMPO,17,1
196,BAHIA NEGRA,BAHIA NEGRA,17,1
197,SAN ISIDRO DEL CURUGUATY,SAN ISIDRO DEL CURUGUATY,18,1
198,VILLA YGATIMI,VILLA YGATIMI,18,1
199,YPEJHU,YPEJHU,18,1
200,CORPUS CHRISTI,CORPUS CHRISTI,18,1
