# Source: Manual Técnico SIFEN v150, Tabla 2.1 (DEPARTAMENTOS, DISTRITOS Y CIUDADES)
# Original file: CODIGO DE REFERENCIA GEOGRAFICA.xlsx (DNIT 2023)
# Generated by: scripts/generate_geo_catalogs.py
codigo,nombre,nombre_display,codigo_padre,activo
119,POTRERO ROMERO,POTRERO ROMERO,2,1
120,PROSPERIDAD,PROSPERIDAD,2,1
121,PUENTE CANON,PUENTE CAÑON,2,1
122,PUERTO ABENTE,PUERTO ABENTE,2,1
123,PUERTO DOS,PUERTO DOS,2,1
124,QUINTA ALICELICA,QUINTA ALICELICA,2,1
125,REQUEJO,REQUEJO,2,1
126,RINCON,RINCON,2,1
127,RINCON CIERVO,RINCON CIERVO,2,1
128,RINCON CUE,RINCON CUE,2,1
129,RINCON ZARZA,RINCON ZARZA,2,1
130,RINCON DE LUNA,RINCON DE LUNA,2,1
131,RIVAS CUE,RIVAS CUE,2,1
132,ROJAS MI,ROJAS MI,2,1
133,ROSALIA,ROSALIA,2,1
134,RURAL,RURAL,2,1
135,S. ISABEL,S. ISABEL,2,1
136,SAGRADA FAMILIA,SAGRADA FAMILIA,2,1
137,SALADERO RISSO,SALADERO RISSO,2,1
138,SALEITA,SALEITA,2,1
139,SALINARES,SALINARES,2,1
140,SALINARES CUE,SALINARES CUE,2,1
141,SAN ANTONIO,SAN ANTONIO,2,1
142,SAN LORENZO,SAN LORENZO,2,1
143,SAN MIGUEL,SAN MIGUEL,2,1
144,SAN NICOLAS,SAN NICOLAS,2,1
145,SAN RAFAEL,SAN RAFAEL,2,1
146,SAN SALVADOR,SAN SALVADOR,2,1
147,SANCHEZ CUE,SANCHEZ CUE,2,1
148,SANTA CUE,SANTA CUE,2,1
149,SANTA MARIA DE LA S.,SANTA MARIA DE LA S.,2,1
150,SIERVO POTRERO,SIERVO POTRERO,2,1
151,TACURUTY,TACURUTY,10,1
152,TAPE CAAGUY,TAPE CAAGUY,10,1
153,TAYI CARE,TAYI CARE,10,1
154,TORO PASO,TORO PASO,10,1
155,TUPI JHU,TUPI JHU,10,1
156,TUYU JHU,TUYU JHU,10,1
157,VALIENTE - CUE,VALIENTE - CUE,10,1
158,VALLE - I,VALLE - I,10,1
159,YACARE - NU,YACARE - ÑU,10,1
160,YACARE - E,YACARE - E,10,1
161,YAPEPO,YAPEPO,10,1
162,YCUA - PORA,YCUA - PORA,10,1
163,YCUA CURUZU,YCUA CURUZU,10,1
164,YGATYMI,YGATYMI,10,1
165,YPANE,YPANE,10,1
166,YPAYERE,YPAYERE,10,1
167,YUQUYTY,YUQUYTY,10,1
168,YUQUYRY GUAZU,YUQUYRY GUAZU,10,1
169,ZANJITA,ZANJITA,10,1
170,ZOLABARRIENTA,ZOLABARRIENTA,10,1
171,NANDUCUA,ÑANDUCUA,10,1
172,NANDUROCAY,ÑANDUROCAY,10,1
173,NU - PORA,ÑU - PORA,10,1
174,ANTEQUERA,ANTEQUERA,11,1
175,COL. ANTEQUERA,COL. ANTEQUERA,11,1
176,PINOZA,PINOZA,11,1
177,GRAL. E.AQUINO,GRAL. E.AQUINO,12,1
178,1RO. DE MARZO,1RO. DE MARZO,12,1
