id,code,name,state_id:id,active
district_py_92,92,CAPITAN MIRANDA,l10n_py_base.state_py_8,True
district_py_93,93,CORONEL BOGADO,l10n_py_base.state_py_8,True
district_py_94,94,FRAM,l10n_py_base.state_py_8,True
district_py_95,95,GRAL. ARTIGAS,l10n_py_base.state_py_8,True
district_py_96,96,GRAL. DELGADO,l10n_py_base.state_py_8,True
district_py_97,97,HOHENAU,l10n_py_base.state_py_8,True
district_py_98,98,JESUS,l10n_py_base.state_py_8,True
district_py_99,99,OBLIGADO,l10n_py_base.state_py_8,True
district_py_100,100,SAN COSME Y DAMIAN,l10n_py_base.state_py_8,True
district_py_101,101,SAN PEDRO DEL PARANA,l10n_py_base.state_py_8,True
district_py_102,102,NUEVA ALBORADA,l10n_py_base.state_py_8,True
district_py_103,103,TRINIDAD,l10n_py_base.state_py_8,True
district_py_104,104,NATALIO,l10n_py_base.state_py_8,True
district_py_105,105,JOSE LEANDRO OVIEDO,l10n_py_base.state_py_8,True
district_py_106,106,SAN RAFAEL DEL PARANA,l10n_py_base.state_py_8,True
district_py_107,107,CARLOS A. LOPEZ,l10n_py_base.state_py_8,True
district_py_108,108,JULIO D. OTAÑO,l10n_py_base.state_py_8,True
district_py_109,109,EDELIRA,l10n_py_base.state_py_8,True
district_py_110,110,SAN JUAN DEL PARANA,l10n_py_base.state_py_8,True
district_py_111,111,LA PAZ,l10n_py_base.state_py_8,True
district_py_112,112,TOMAS R. PEREIRA,l10n_py_base.state_py_8,True
district_py_113,113,YATYTAY,l10n_py_base.state_py_8,True
district_py_114,114,HERIBERTA S.DE IGLESIAS,l10n_py_base.state_py_8,True
district_py_115,115,SAN JUAN BAUTISTA,l10n_py_base.state_py_9,True
district_py_116,116,AYOLAS,l10n_py_base.state_py_9,True
district_py_117,117,SAN IGNACIO,l10n_py_base.state_py_9,True
district_py_118,118,SAN MIGUEL,l10n_py_base.state_py_9,True
district_py_119,119,SAN PATRICIO,l10n_py_base.state_py_9,True
district_py_120,120,SANTIAGO,l10n_py_base.state_py_9,True
district_py_121,121,SANTA MARIA,l10n_py_base.state_py_9,True
district_py_122,122,SANTA ROSA,l10n_py_base.state_py_9,True
district_py_123,123,VILLA FLORIDA,l10n_py_base.state_py_9,True
district_py_124,124,YABEBYRY,l10n_py_base.state_py_9,True
district_py_125,125,PARAGUARI,l10n_py_base.state_py_10,True
district_py_126,126,ACAHAY,l10n_py_base.state_py_10,True
district_py_127,127,CAAPUCU,l10n_py_base.state_py_10,True
district_py_128,128,CABALLERO,l10n_py_base.state_py_10,True
